nohup: ignoring input
==============================================================================
EXPANDED VANET PARALLEL BATCH
==============================================================================
Workers                 : 2
Existing locked runs    : 2700
New completed instances : 2150 / 2340
Instances this launch   : 190
Same-seed retries       : 3
==============================================================================
[DEFERRED] INST_3051 | AODV: NS-2 failed: 
[PASS] INST_3234 | 150 nodes | 50 km/h | 25 flows | 5 pps | seed 4 | 2333/2340
[PASS] INST_3235 | 150 nodes | 50 km/h | 25 flows | 5 pps | seed 5 | 2334/2340
[PASS] INST_3236 | 150 nodes | 50 km/h | 25 flows | 6 pps | seed 1 | 2335/2340
[PASS] INST_3237 | 150 nodes | 50 km/h | 25 flows | 6 pps | seed 2 | 2336/2340
[PASS] INST_3238 | 150 nodes | 50 km/h | 25 flows | 6 pps | seed 3 | 2337/2340
[PASS] INST_3239 | 150 nodes | 50 km/h | 25 flows | 6 pps | seed 4 | 2338/2340
[PASS] INST_3240 | 150 nodes | 50 km/h | 25 flows | 6 pps | seed 5 | 2339/2340

==============================================================================
EXPANDED VANET DATASET STATUS
==============================================================================
Target unique conditions : 648
Old locked conditions    : 180
New conditions           : 468
Old locked runs          : 2700
New completed instances  : 2339 / 2340
New completed runs       : 7017 / 7020
New remaining instances  : 1
Pending failures         : 1
New progress             : 99.96%
Overall completed runs   : 9717 / 9720
Manifest                 : /home/shovon/Documents/VANET_Project/FINAL_VANET_1000x1000/04_NS2/expanded_new_experiment_manifest.csv
New checkpoint           : /home/shovon/Documents/VANET_Project/FINAL_VANET_1000x1000/06_RESULTS/expanded_new_qos_progress.csv
==============================================================================
